SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
sample1_user	GFM2	G elongation factor mitochondrial 2	Translation	-0.027	0.870	0 mutation(s)
sample1_user	GTPBP10	GTP binding protein 10	Translation	0.095	0.459	0 mutation(s)
sample1_user	GTPBP3	GTP binding protein 3, mitochondrial	Translation	-0.088	0.488	0 mutation(s)
sample1_user	GUF1	GUF1 homolog, GTPase	Translation	-0.236	0.227	0 mutation(s)
sample1_user	HARS2	histidyl-tRNA synthetase 2, mitochondrial	Translation	0.097	0.354	0 mutation(s)
sample1_user	HEMK1	HemK methyltransferase family member 1	Translation	0.169	0.310	0 mutation(s)
sample1_user	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	Translation	0.018	0.845	0 mutation(s)
sample1_user	LACTB2	lactamase beta 2	Translation	0.008	0.954	0 mutation(s)
sample1_user	LARS2	leucyl-tRNA synthetase 2, mitochondrial	Translation	-0.01	0.946	0 mutation(s)
sample1_user	LRPPRC	leucine rich pentatricopeptide repeat containing	Translation	0.071	0.623	0 mutation(s)
sample1_user	MALSU1	mitochondrial assembly of ribosomal large subunit 1	Translation	0.034	0.797	0 mutation(s)
sample1_user	MARS2	methionyl-tRNA synthetase 2, mitochondrial	Translation	0.027	0.851	0 mutation(s)
sample1_user	METTL17	methyltransferase like 17	Translation	-0.166	0.291	0 mutation(s)
sample1_user	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	Translation	0.095	0.501	0 mutation(s)
sample1_user	MRM1	mitochondrial rRNA methyltransferase 1	Translation	0.006	0.959	0 mutation(s)
sample1_user	MRM2	mitochondrial rRNA methyltransferase 2	Translation	0.265	0.026	0 mutation(s)
sample1_user	MRM3	mitochondrial rRNA methyltransferase 3	Translation	-0.11	0.373	0 mutation(s)
sample1_user	MRPL11	mitochondrial ribosomal protein L11	Translation	0.014	0.927	0 mutation(s)
sample1_user	MRPL12	mitochondrial ribosomal protein L12	Translation	0.085	0.464	0 mutation(s)
sample1_user	MRPL13	mitochondrial ribosomal protein L13	Translation	0.186	0.244	0 mutation(s)
sample1_user	MRPL14	mitochondrial ribosomal protein L14	Translation	0.172	0.164	0 mutation(s)
sample1_user	MRPL15	mitochondrial ribosomal protein L15	Translation	0.056	0.736	0 mutation(s)
sample1_user	MRPL16	mitochondrial ribosomal protein L16	Translation	0.002	0.983	0 mutation(s)
sample1_user	MRPL17	mitochondrial ribosomal protein L17	Translation	-0.121	0.238	0 mutation(s)
sample1_user	MRPL18	mitochondrial ribosomal protein L18	Translation	0.034	0.749	0 mutation(s)
sample1_user	MRPL19	mitochondrial ribosomal protein L19	Translation	-0.053	0.634	0 mutation(s)
sample1_user	MRPL2	mitochondrial ribosomal protein L2	Translation	-0.021	0.858	0 mutation(s)
sample1_user	MRPL21	mitochondrial ribosomal protein L21	Translation	-0.093	0.505	0 mutation(s)
sample1_user	MRPL22	mitochondrial ribosomal protein L22	Translation	-0.15	0.335	0 mutation(s)
sample1_user	MRPL24	mitochondrial ribosomal protein L24	Translation	-0.007	0.947	0 mutation(s)
sample1_user	MRPL27	mitochondrial ribosomal protein L27	Translation	0.036	0.808	0 mutation(s)
sample1_user	MRPL28	mitochondrial ribosomal protein L28	Translation	0.108	0.247	0 mutation(s)
sample1_user	MRPL3	mitochondrial ribosomal protein L3	Translation	0.077	0.407	0 mutation(s)
sample1_user	MRPL30	mitochondrial ribosomal protein L30	Translation	0.255	0.019	0 mutation(s)
sample1_user	MRPL34	mitochondrial ribosomal protein L34	Translation	0.074	0.627	0 mutation(s)
sample1_user	MRPL35	mitochondrial ribosomal protein L35	Translation	0.126	0.299	0 mutation(s)
sample1_user	MRPL36	mitochondrial ribosomal protein L36	Translation	0.118	0.346	0 mutation(s)
sample1_user	MRPL37	mitochondrial ribosomal protein L37	Translation	0.491	0.000	0 mutation(s)
sample1_user	MRPL39	mitochondrial ribosomal protein L39	Translation	-0.122	0.368	0 mutation(s)
sample1_user	MRPL4	mitochondrial ribosomal protein L4	Translation	-0.099	0.387	0 mutation(s)
sample1_user	MRPL40	mitochondrial ribosomal protein L40	Translation	0.006	0.957	0 mutation(s)
sample1_user	MRPL41	mitochondrial ribosomal protein L41	Translation	0.271	0.108	0 mutation(s)
sample1_user	MRPL42	mitochondrial ribosomal protein L42	Translation	-0.288	0.385	0 mutation(s)
sample1_user	MRPL43	mitochondrial ribosomal protein L43	Translation	0.277	0.020	0 mutation(s)
sample1_user	MRPL45	mitochondrial ribosomal protein L45	Translation	-0.055	0.556	0 mutation(s)
sample1_user	MRPL46	mitochondrial ribosomal protein L46	Translation	-0.141	0.173	0 mutation(s)
sample1_user	MRPL47	mitochondrial ribosomal protein L47	Translation	-0.166	0.300	0 mutation(s)
sample1_user	MRPL48	mitochondrial ribosomal protein L48	Translation	-0.048	0.720	0 mutation(s)
sample1_user	MRPL49	mitochondrial ribosomal protein L49	Translation	0.012	0.913	0 mutation(s)
sample1_user	MRPL50	mitochondrial ribosomal protein L50	Translation	-0.05	0.647	0 mutation(s)
sample1_user	MRPL51	mitochondrial ribosomal protein L51	Translation	-0.033	0.766	0 mutation(s)
sample1_user	MRPL52	mitochondrial ribosomal protein L52	Translation	0.194	0.124	0 mutation(s)
sample1_user	MRPL53	mitochondrial ribosomal protein L53	Translation	0.194	0.131	0 mutation(s)
sample1_user	MRPL57	mitochondrial ribosomal protein L57	Translation	0.239	0.063	0 mutation(s)
sample1_user	MRPL58	mitochondrial ribosomal protein L58	Translation	0.007	0.947	0 mutation(s)
sample1_user	MRPL9	mitochondrial ribosomal protein L9	Translation	0.102	0.334	0 mutation(s)
sample1_user	MRPS10	mitochondrial ribosomal protein S10	Translation	0.077	0.557	0 mutation(s)
sample1_user	MRPS11	mitochondrial ribosomal protein S11	Translation	0.157	0.206	0 mutation(s)
sample1_user	MRPS12	mitochondrial ribosomal protein S12	Translation	0.246	0.093	0 mutation(s)
sample1_user	MRPS14	mitochondrial ribosomal protein S14	Translation	0.027	0.825	0 mutation(s)
sample1_user	MRPS15	mitochondrial ribosomal protein S15	Translation	0.201	0.115	0 mutation(s)
sample1_user	MRPS16	mitochondrial ribosomal protein S16	Translation	0.109	0.259	0 mutation(s)
sample1_user	MRPS18A	mitochondrial ribosomal protein S18A	Translation	0.37	0.006	0 mutation(s)
sample1_user	MRPS18B	mitochondrial ribosomal protein S18B	Translation	-0.139	0.263	0 mutation(s)
sample1_user	MRPS18C	mitochondrial ribosomal protein S18C	Translation	0.229	0.242	0 mutation(s)
sample1_user	MRPS2	mitochondrial ribosomal protein S2	Translation	0.116	0.240	0 mutation(s)
sample1_user	MRPS22	mitochondrial ribosomal protein S22	Translation	-0.112	0.388	0 mutation(s)
sample1_user	MRPS23	mitochondrial ribosomal protein S23	Translation	0.127	0.175	0 mutation(s)
sample1_user	MRPS24	mitochondrial ribosomal protein S24	Translation	-0.02	0.834	0 mutation(s)
sample1_user	MRPS25	mitochondrial ribosomal protein S25	Translation	0.095	0.486	0 mutation(s)
sample1_user	MRPS26	mitochondrial ribosomal protein S26	Translation	0.23	0.058	0 mutation(s)
sample1_user	MRPS27	mitochondrial ribosomal protein S27	Translation	0.153	0.403	0 mutation(s)
sample1_user	MRPS28	mitochondrial ribosomal protein S28	Translation	-0.076	0.617	0 mutation(s)
sample1_user	MRPS30	mitochondrial ribosomal protein S30	Translation	0.067	0.551	0 mutation(s)
sample1_user	MRPS31	mitochondrial ribosomal protein S31	Translation	0.256	0.064	0 mutation(s)
sample1_user	MRPS33	mitochondrial ribosomal protein S33	Translation	-0.145	0.110	0 mutation(s)
sample1_user	MRPS34	mitochondrial ribosomal protein S34	Translation	0.103	0.442	0 mutation(s)
sample1_user	MRPS35	mitochondrial ribosomal protein S35	Translation	0.033	0.765	0 mutation(s)
sample1_user	MRPS36	mitochondrial ribosomal protein S36	Translation	-0.1	0.336	0 mutation(s)
sample1_user	MRPS5	mitochondrial ribosomal protein S5	Translation	-0.055	0.603	0 mutation(s)
sample1_user	MRPS6	mitochondrial ribosomal protein S6	Translation	0.14	0.376	0 mutation(s)
sample1_user	MRPS7	mitochondrial ribosomal protein S7	Translation	-0.005	0.965	0 mutation(s)
sample1_user	MRPS9	mitochondrial ribosomal protein S9	Translation	-0.142	0.194	0 mutation(s)
sample1_user	MRRF	mitochondrial ribosome recycling factor	Translation	-0.131	0.416	0 mutation(s)
sample1_user	MTERF3	mitochondrial transcription termination factor 3	Translation	-0.398	0.028	0 mutation(s)
sample1_user	MTERF4	mitochondrial transcription termination factor 4	Translation	0.066	0.650	0 mutation(s)
sample1_user	MTFMT	mitochondrial methionyl-tRNA formyltransferase	Translation	0.014	0.948	0 mutation(s)
sample1_user	MTG1	mitochondrial ribosome associated GTPase 1	Translation	0.081	0.543	0 mutation(s)
sample1_user	MTG2	mitochondrial ribosome associated GTPase 2	Translation	0.225	0.081	0 mutation(s)
sample1_user	MTIF2	mitochondrial translational initiation factor 2	Translation	0.182	0.169	0 mutation(s)
sample1_user	MTIF3	mitochondrial translational initiation factor 3	Translation	0.001	0.991	0 mutation(s)
sample1_user	MTO1	mitochondrial tRNA translation optimization 1	Translation	0.074	0.534	0 mutation(s)
sample1_user	MTPAP	mitochondrial poly(A) polymerase	Translation	-0.245	0.158	0 mutation(s)
sample1_user	MTRES1	mitochondrial transcription rescue factor 1	Translation	0.004	0.976	0 mutation(s)
sample1_user	MTRF1	mitochondrial translation release factor 1	Translation	-0.147	0.449	0 mutation(s)
sample1_user	MTRF1L	mitochondrial translational release factor 1 like	Translation	0.078	0.658	0 mutation(s)
sample1_user	NOA1	nitric oxide associated 1	Translation	0.342	0.061	0 mutation(s)
sample1_user	NSUN3	NOP2/Sun RNA methyltransferase 3	Translation	0.236	0.055	0 mutation(s)
sample1_user	OSGEPL1	O-sialoglycoprotein endopeptidase like 1	Translation	0.141	0.577	0 mutation(s)
sample1_user	PARS2	prolyl-tRNA synthetase 2, mitochondrial	Translation	0.464	0.016	0 mutation(s)
sample1_user	PDE12	phosphodiesterase 12	Translation	0.156	0.243	0 mutation(s)
sample1_user	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4	Translation	0.066	0.804	0 mutation(s)
sample1_user	PNPT1	polyribonucleotide nucleotidyltransferase 1	Translation	0.02	0.908	0 mutation(s)
sample1_user	PPA2	pyrophosphatase (inorganic) 2	Translation	-0.108	0.502	0 mutation(s)
sample1_user	PRORP	protein only RNase P catalytic subunit	Translation	0.359	0.006	0 mutation(s)
sample1_user	PSTK	phosphoseryl-tRNA kinase	Translation	-0.064	0.731	0 mutation(s)
sample1_user	PTCD1	pentatricopeptide repeat domain 1	Translation	0.105	0.477	0 mutation(s)
sample1_user	PTRH2	peptidyl-tRNA hydrolase 2	Translation	0.006	0.960	0 mutation(s)
sample1_user	PUS1	pseudouridine synthase 1	Translation	-0.205	0.188	0 mutation(s)
sample1_user	PUSL1	pseudouridine synthase like 1	Translation	0.196	0.257	0 mutation(s)
sample1_user	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1	Translation	-0.042	0.736	0 mutation(s)
sample1_user	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1	Translation	0.068	0.683	0 mutation(s)
sample1_user	RARS2	arginyl-tRNA synthetase 2, mitochondrial	Translation	-0.368	0.072	0 mutation(s)
sample1_user	RBFA	ribosome binding factor A	Translation	0.188	0.140	0 mutation(s)
sample1_user	REXO2	RNA exonuclease 2	Translation	-0.071	0.612	0 mutation(s)
sample1_user	RIDA	reactive intermediate imine deaminase A homolog	Translation	0.177	0.487	0 mutation(s)
sample1_user	RMND1	required for meiotic nuclear division 1 homolog	Translation	0.333	0.067	0 mutation(s)
sample1_user	RNASEL	ribonuclease L	Translation	1.106	0.010	0 mutation(s)
sample1_user	RPS19	ribosomal protein S19	Translation	0.002	0.988	0 mutation(s)
sample1_user	RPUSD3	RNA pseudouridine synthase D3	Translation	0.111	0.569	0 mutation(s)
sample1_user	RPUSD4	RNA pseudouridine synthase D4	Translation	0.254	0.098	0 mutation(s)
sample1_user	SARS2	seryl-tRNA synthetase 2, mitochondrial	Translation	-0.057	0.744	0 mutation(s)
sample1_user	SBDS	SBDS ribosome maturation factor	Translation	-0.042	0.674	0 mutation(s)
sample1_user	SLIRP	SRA stem-loop interacting RNA binding protein	Translation	0.094	0.652	0 mutation(s)
sample1_user	TACO1	translational activator of cytochrome c oxidase I	Translation	0.331	0.021	0 mutation(s)
sample1_user	TARS2	threonyl-tRNA synthetase 2, mitochondrial	Translation	0.37	0.001	0 mutation(s)
sample1_user	TRIT1	tRNA isopentenyltransferase 1	Translation	0.208	0.175	0 mutation(s)
sample1_user	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	Translation	-0.259	0.117	0 mutation(s)
sample1_user	TRMT11	tRNA methyltransferase 11 homolog	Translation	0.31	0.166	0 mutation(s)
sample1_user	TRMT2B	tRNA methyltransferase 2 homolog B	Translation	0.236	0.418	0 mutation(s)
sample1_user	TRMT5	tRNA methyltransferase 5	Translation	-0.183	0.116	0 mutation(s)
sample1_user	TRMT61B	tRNA methyltransferase 61B	Translation	0.216	0.107	0 mutation(s)
sample1_user	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	Translation	0.318	0.070	0 mutation(s)
sample1_user	TRNT1	tRNA nucleotidyl transferase 1	Translation	0.052	0.779	0 mutation(s)
sample1_user	TSFM	Ts translation elongation factor, mitochondrial	Translation	0.133	0.264	0 mutation(s)
sample1_user	TUFM	Tu translation elongation factor, mitochondrial	Translation	0.097	0.206	0 mutation(s)
sample1_user	VARS2	valyl-tRNA synthetase 2, mitochondrial	Translation	0.334	0.059	0 mutation(s)
sample1_user	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	Translation	0.17	0.191	0 mutation(s)
sample1_user	YARS2	tyrosyl-tRNA synthetase 2	Translation	0.03	0.823	0 mutation(s)
sample2_user	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Translation	-1.124	0.000	0 mutation(s)
sample2_user	BPHL	biphenyl hydrolase like	Translation	0.21	0.091	0 mutation(s)
sample2_user	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	Translation	-0.184	0.294	0 mutation(s)
sample2_user	DAP3	death associated protein 3	Translation	-0.258	0.004	0 mutation(s)
sample2_user	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	Translation	0.021	0.928	0 mutation(s)
sample2_user	DDX28	DEAD-box helicase 28	Translation	0.382	0.005	0 mutation(s)
sample2_user	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	Translation	-0.041	0.869	0 mutation(s)
sample2_user	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	Translation	-0.05	0.815	0 mutation(s)
sample2_user	ELAC2	elaC ribonuclease Z 2	Translation	-0.01	0.946	0 mutation(s)
sample2_user	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	Translation	0.042	0.709	0 mutation(s)
sample2_user	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	Translation	-0.003	0.978	0 mutation(s)
sample2_user	FASTK	Fas activated serine/threonine kinase	Translation	0.103	0.290	0 mutation(s)
sample2_user	FASTKD1	FAST kinase domains 1	Translation	0.48	0.050	0 mutation(s)
sample2_user	FASTKD2	FAST kinase domains 2	Translation	-0.072	0.504	0 mutation(s)
sample2_user	FASTKD3	FAST kinase domains 3	Translation	0.227	0.198	0 mutation(s)
sample2_user	FASTKD5	FAST kinase domains 5	Translation	0.046	0.715	0 mutation(s)
sample2_user	GADD45GIP1	GADD45G interacting protein 1	Translation	0.194	0.174	0 mutation(s)
sample2_user	GARS1	glycyl-tRNA synthetase	Translation	0.041	0.729	0 mutation(s)
sample2_user	GATB	glutamyl-tRNA amidotransferase subunit B	Translation	-0.091	0.423	0 mutation(s)
sample2_user	GATC	glutamyl-tRNA amidotransferase subunit C	Translation	0.064	0.580	0 mutation(s)
sample2_user	GFM2	G elongation factor mitochondrial 2	Translation	-0.366	0.036	0 mutation(s)
sample2_user	GTPBP10	GTP binding protein 10	Translation	0.161	0.201	0 mutation(s)
sample2_user	GTPBP3	GTP binding protein 3, mitochondrial	Translation	0.038	0.765	0 mutation(s)
sample2_user	GUF1	GUF1 homolog, GTPase	Translation	-0.306	0.119	0 mutation(s)
sample2_user	HARS2	histidyl-tRNA synthetase 2, mitochondrial	Translation	0.067	0.514	0 mutation(s)
sample2_user	HEMK1	HemK methyltransferase family member 1	Translation	0.482	0.006	0 mutation(s)
sample2_user	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	Translation	-0.085	0.361	0 mutation(s)
sample2_user	LACTB2	lactamase beta 2	Translation	0.034	0.807	0 mutation(s)
sample2_user	LARS2	leucyl-tRNA synthetase 2, mitochondrial	Translation	-0.377	0.017	0 mutation(s)
sample2_user	LRPPRC	leucine rich pentatricopeptide repeat containing	Translation	-0.105	0.463	0 mutation(s)
sample2_user	MALSU1	mitochondrial assembly of ribosomal large subunit 1	Translation	0.154	0.244	0 mutation(s)
sample2_user	MARS2	methionyl-tRNA synthetase 2, mitochondrial	Translation	-0.138	0.338	0 mutation(s)
sample2_user	METTL17	methyltransferase like 17	Translation	-0.016	0.916	0 mutation(s)
sample2_user	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	Translation	0.389	0.008	0 mutation(s)
sample2_user	MRM1	mitochondrial rRNA methyltransferase 1	Translation	0.23	0.055	0 mutation(s)
sample2_user	MRM2	mitochondrial rRNA methyltransferase 2	Translation	0.474	0.000	0 mutation(s)
sample2_user	MRM3	mitochondrial rRNA methyltransferase 3	Translation	-0.041	0.735	0 mutation(s)
sample2_user	MRPL11	mitochondrial ribosomal protein L11	Translation	0.002	0.990	0 mutation(s)
sample2_user	MRPL12	mitochondrial ribosomal protein L12	Translation	0.143	0.214	0 mutation(s)
sample2_user	MRPL13	mitochondrial ribosomal protein L13	Translation	0.257	0.115	0 mutation(s)
sample2_user	MRPL14	mitochondrial ribosomal protein L14	Translation	0.253	0.041	0 mutation(s)
sample2_user	MRPL15	mitochondrial ribosomal protein L15	Translation	-0.016	0.921	0 mutation(s)
sample2_user	MRPL16	mitochondrial ribosomal protein L16	Translation	0.101	0.345	0 mutation(s)
sample2_user	MRPL17	mitochondrial ribosomal protein L17	Translation	0.084	0.399	0 mutation(s)
sample2_user	MRPL18	mitochondrial ribosomal protein L18	Translation	0.083	0.427	0 mutation(s)
sample2_user	MRPL19	mitochondrial ribosomal protein L19	Translation	0.029	0.793	0 mutation(s)
sample2_user	MRPL2	mitochondrial ribosomal protein L2	Translation	0.163	0.161	0 mutation(s)
sample2_user	MRPL21	mitochondrial ribosomal protein L21	Translation	-0.229	0.106	0 mutation(s)
sample2_user	MRPL22	mitochondrial ribosomal protein L22	Translation	-0.046	0.757	0 mutation(s)
sample2_user	MRPL24	mitochondrial ribosomal protein L24	Translation	0.011	0.918	0 mutation(s)
sample2_user	MRPL27	mitochondrial ribosomal protein L27	Translation	0.232	0.117	0 mutation(s)
sample2_user	MRPL28	mitochondrial ribosomal protein L28	Translation	0.045	0.625	0 mutation(s)
sample2_user	MRPL3	mitochondrial ribosomal protein L3	Translation	-0.112	0.220	0 mutation(s)
sample2_user	MRPL30	mitochondrial ribosomal protein L30	Translation	0.302	0.006	0 mutation(s)
sample2_user	MRPL34	mitochondrial ribosomal protein L34	Translation	0.285	0.063	0 mutation(s)
sample2_user	MRPL35	mitochondrial ribosomal protein L35	Translation	0.244	0.046	0 mutation(s)
sample2_user	MRPL36	mitochondrial ribosomal protein L36	Translation	0.362	0.005	0 mutation(s)
sample2_user	MRPL37	mitochondrial ribosomal protein L37	Translation	0.499	0.000	0 mutation(s)
sample2_user	MRPL39	mitochondrial ribosomal protein L39	Translation	-0.098	0.469	0 mutation(s)
sample2_user	MRPL4	mitochondrial ribosomal protein L4	Translation	-0.161	0.155	0 mutation(s)
sample2_user	MRPL40	mitochondrial ribosomal protein L40	Translation	0.004	0.971	0 mutation(s)
sample2_user	MRPL41	mitochondrial ribosomal protein L41	Translation	0.331	0.046	0 mutation(s)
sample2_user	MRPL42	mitochondrial ribosomal protein L42	Translation	0.012	0.971	0 mutation(s)
sample2_user	MRPL43	mitochondrial ribosomal protein L43	Translation	0.473	0.000	0 mutation(s)
sample2_user	MRPL45	mitochondrial ribosomal protein L45	Translation	0.07	0.447	0 mutation(s)
sample2_user	MRPL46	mitochondrial ribosomal protein L46	Translation	-0.122	0.231	0 mutation(s)
sample2_user	MRPL47	mitochondrial ribosomal protein L47	Translation	0.281	0.087	0 mutation(s)
sample2_user	MRPL48	mitochondrial ribosomal protein L48	Translation	0.018	0.891	0 mutation(s)
sample2_user	MRPL49	mitochondrial ribosomal protein L49	Translation	-0.051	0.635	0 mutation(s)
sample2_user	MRPL50	mitochondrial ribosomal protein L50	Translation	0.144	0.181	0 mutation(s)
sample2_user	MRPL51	mitochondrial ribosomal protein L51	Translation	0.275	0.016	0 mutation(s)
sample2_user	MRPL52	mitochondrial ribosomal protein L52	Translation	0.259	0.039	0 mutation(s)
sample2_user	MRPL53	mitochondrial ribosomal protein L53	Translation	0.408	0.002	0 mutation(s)
sample2_user	MRPL57	mitochondrial ribosomal protein L57	Translation	0.31	0.015	0 mutation(s)
sample2_user	MRPL58	mitochondrial ribosomal protein L58	Translation	0.08	0.471	0 mutation(s)
sample2_user	MRPL9	mitochondrial ribosomal protein L9	Translation	0.179	0.090	0 mutation(s)
sample2_user	MRPS10	mitochondrial ribosomal protein S10	Translation	0.101	0.441	0 mutation(s)
sample2_user	MRPS11	mitochondrial ribosomal protein S11	Translation	0.15	0.230	0 mutation(s)
sample2_user	MRPS12	mitochondrial ribosomal protein S12	Translation	0.382	0.010	0 mutation(s)
sample2_user	MRPS14	mitochondrial ribosomal protein S14	Translation	0.085	0.477	0 mutation(s)
sample2_user	MRPS15	mitochondrial ribosomal protein S15	Translation	0.25	0.049	0 mutation(s)
sample2_user	MRPS16	mitochondrial ribosomal protein S16	Translation	-0.055	0.561	0 mutation(s)
sample2_user	MRPS18A	mitochondrial ribosomal protein S18A	Translation	0.206	0.133	0 mutation(s)
sample2_user	MRPS18B	mitochondrial ribosomal protein S18B	Translation	-0.008	0.945	0 mutation(s)
sample2_user	MRPS18C	mitochondrial ribosomal protein S18C	Translation	0.272	0.188	0 mutation(s)
sample2_user	MRPS2	mitochondrial ribosomal protein S2	Translation	0.228	0.022	0 mutation(s)
sample2_user	MRPS22	mitochondrial ribosomal protein S22	Translation	-0.2	0.121	0 mutation(s)
sample2_user	MRPS23	mitochondrial ribosomal protein S23	Translation	0.367	0.000	0 mutation(s)
sample2_user	MRPS24	mitochondrial ribosomal protein S24	Translation	0.165	0.078	0 mutation(s)
sample2_user	MRPS25	mitochondrial ribosomal protein S25	Translation	0.149	0.267	0 mutation(s)
sample2_user	MRPS26	mitochondrial ribosomal protein S26	Translation	0.281	0.021	0 mutation(s)
sample2_user	MRPS27	mitochondrial ribosomal protein S27	Translation	-0.009	0.960	0 mutation(s)
sample2_user	MRPS28	mitochondrial ribosomal protein S28	Translation	0.001	0.994	0 mutation(s)
sample2_user	MRPS30	mitochondrial ribosomal protein S30	Translation	0.121	0.281	0 mutation(s)
sample2_user	MRPS31	mitochondrial ribosomal protein S31	Translation	0.15	0.276	0 mutation(s)
sample2_user	MRPS33	mitochondrial ribosomal protein S33	Translation	-0.143	0.109	0 mutation(s)
sample2_user	MRPS34	mitochondrial ribosomal protein S34	Translation	0.28	0.037	0 mutation(s)
sample2_user	MRPS35	mitochondrial ribosomal protein S35	Translation	0.057	0.598	0 mutation(s)
sample2_user	MRPS36	mitochondrial ribosomal protein S36	Translation	0.138	0.182	0 mutation(s)
sample2_user	MRPS5	mitochondrial ribosomal protein S5	Translation	0.024	0.817	0 mutation(s)
sample2_user	MRPS6	mitochondrial ribosomal protein S6	Translation	-0.155	0.309	0 mutation(s)
sample2_user	MRPS7	mitochondrial ribosomal protein S7	Translation	0.091	0.392	0 mutation(s)
sample2_user	MRPS9	mitochondrial ribosomal protein S9	Translation	-0.115	0.279	0 mutation(s)
sample2_user	MRRF	mitochondrial ribosome recycling factor	Translation	-0.366	0.023	0 mutation(s)
sample2_user	MTERF3	mitochondrial transcription termination factor 3	Translation	-0.73	0.000	0 mutation(s)
sample2_user	MTERF4	mitochondrial transcription termination factor 4	Translation	0.058	0.693	0 mutation(s)
sample2_user	MTFMT	mitochondrial methionyl-tRNA formyltransferase	Translation	0.001	0.998	0 mutation(s)
sample2_user	MTG1	mitochondrial ribosome associated GTPase 1	Translation	0.255	0.061	0 mutation(s)
sample2_user	MTG2	mitochondrial ribosome associated GTPase 2	Translation	0.197	0.119	0 mutation(s)
sample2_user	MTIF2	mitochondrial translational initiation factor 2	Translation	0.134	0.301	0 mutation(s)
sample2_user	MTIF3	mitochondrial translational initiation factor 3	Translation	-0.158	0.189	0 mutation(s)
sample2_user	MTO1	mitochondrial tRNA translation optimization 1	Translation	0.005	0.968	0 mutation(s)
sample2_user	MTPAP	mitochondrial poly(A) polymerase	Translation	-0.024	0.888	0 mutation(s)
sample2_user	MTRES1	mitochondrial transcription rescue factor 1	Translation	0.243	0.104	0 mutation(s)
sample2_user	MTRF1	mitochondrial translation release factor 1	Translation	0.254	0.191	0 mutation(s)
sample2_user	MTRF1L	mitochondrial translational release factor 1 like	Translation	0.209	0.217	0 mutation(s)
sample2_user	NOA1	nitric oxide associated 1	Translation	0.468	0.009	0 mutation(s)
sample2_user	NSUN3	NOP2/Sun RNA methyltransferase 3	Translation	0.241	0.049	0 mutation(s)
sample2_user	OSGEPL1	O-sialoglycoprotein endopeptidase like 1	Translation	-0.327	0.224	0 mutation(s)
